Zipcode,Total,White,Black,Asian,Multi,Other,Median_Income,Mean_Income
6390,291,1,0,0,0,0,149554,154017
10001,21966,0.63475371,0.107575344,0.175452973,0.049075844,0.033142129,81671,157557
10002,82191,0.310800453,0.0736942,0.444391722,0.037899527,0.133214099,33218,60347
10003,57310,0.775955331,0.041196999,0.134444251,0.029767929,0.018635491,92540,146769
10004,2807,0.79836124,0.035625223,0.137513359,0.021375134,0.007125045,129313,206142
10005,6822,0.744209909,0.015244796,0.211228379,0.016564057,0.012752858,124670,178458
10006,2507,0.701635421,0.03948943,0.189070602,0.056641404,0.013163143,119274,149520
10007,6525,0.701302682,0.063295019,0.157394636,0.053793103,0.024214559,216037,385882
10009,62810,0.597675529,0.071580958,0.152682694,0.032733641,0.145327177,59929,85508
10010,30670,0.711444408,0.059341376,0.149722856,0.048679491,0.030811868,97955,145088
10011,52167,0.779860832,0.041213794,0.097341231,0.043418253,0.03816589,104238,191483
10012,26145,0.753145917,0.022566456,0.165959074,0.029795372,0.02853318,86594,136376
10013,26065,0.561212354,0.036063687,0.342106273,0.04331479,0.017302897,83725,207336
10014,30597,0.878877014,0.020819035,0.061901494,0.023662451,0.014740007,108483,170750
10016,51196,0.748906165,0.032912728,0.155480897,0.023380733,0.039319478,105324,155107
10017,16129,0.766259533,0.023870048,0.183582367,0.018972038,0.007316015,100652,157023
10018,7021,0.587523145,0.066229882,0.255234297,0.025637374,0.065375303,104635,139891
10019,38394,0.726181174,0.065765484,0.134005313,0.026332239,0.047715789,84424,135288
10020,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10021,40862,0.885003181,0.019235476,0.074543586,0.013729137,0.00748862,107907,208019
10022,29618,0.852961037,0.020730637,0.097980958,0.013944223,0.014383145,109019,214340
10023,61315,0.826518796,0.034151513,0.102797032,0.02454538,0.011987279,103534,183329
10024,59164,0.809884389,0.067929822,0.060188628,0.044030153,0.017967007,109956,194424
10025,97390,0.657213266,0.153794024,0.093284731,0.031009344,0.064698634,68516,119878
10026,37871,0.233344776,0.60204378,0.038446305,0.024636265,0.101528874,43107,69653
10027,62617,0.284619193,0.419630452,0.090406759,0.041154958,0.164188639,37872,67382
10028,44295,0.890664861,0.015396772,0.06388983,0.01943786,0.010610678,104638,193882
10029,77454,0.350633925,0.303302605,0.089175511,0.028184471,0.228703489,31888,61307
10030,28472,0.151060691,0.677121382,0.034981736,0.087454341,0.049381849,31925,53814
10031,59092,0.275164151,0.345275164,0.019427334,0.164929263,0.195204089,37655,57606
10032,59374,0.285158487,0.226395392,0.029709974,0.062333681,0.396402466,34568,49378
10033,58710,0.411003236,0.090172032,0.027201499,0.04184977,0.429773463,41556,62147
10034,41510,0.362105517,0.0913033,0.019730185,0.051529752,0.475331245,41171,57323
10035,33488,0.21109054,0.393364787,0.040790731,0.037744864,0.317009078,24533,46385
10036,23132,0.662848003,0.07980287,0.166565796,0.034713816,0.056069514,66599,106275
10037,17377,0.083961558,0.761178569,0.032456696,0.056971859,0.065431317,37341,49722
10038,20082,0.501543671,0.07225376,0.327059058,0.012349368,0.086794144,66074,121450
10039,26577,0.140836061,0.678293261,0.013206908,0.037814652,0.129849118,33595,46310
10040,44825,0.392682655,0.09224763,0.026993865,0.036519799,0.451556051,42721,60419
10044,12346,0.554430585,0.174874453,0.192127005,0.047221772,0.031346185,83066,109332
10065,32797,0.86337165,0.026984175,0.085952984,0.016830808,0.006860384,115519,214581
10069,5118,0.747948417,0.032434545,0.197928878,0.012309496,0.009378664,170630,219955
10075,24849,0.884904825,0.014487505,0.058271963,0.018109381,0.024226327,102941,189081
10103,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10110,2,0.5,0,0,0.5,0,N/A,N/A
10111,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10112,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10115,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10119,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10128,60121,0.825535171,0.044759735,0.096472115,0.020259144,0.012973836,96296,167623
10152,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10153,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10154,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10162,1327,0.914091937,0,0.071590053,0.014318011,0,168667,200459
10165,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10167,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10168,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10169,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10170,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10171,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10172,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10173,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10174,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10177,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10199,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10271,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10278,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10279,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10280,8685,0.696027634,0.008635579,0.230512378,0.042602188,0.022222222,129574,167317
10282,6217,0.685057101,0.007559916,0.122406305,0.057262345,0.127714332,230952,293121
10301,38885,0.605657709,0.241095538,0.053311045,0.032274656,0.067661052,56848,75422
10302,16811,0.612634584,0.203438225,0.065492832,0.029563976,0.088870382,56841,70132
10303,24537,0.397399845,0.364143946,0.071157843,0.043118556,0.12417981,51537,65878
10304,43084,0.475234426,0.291686009,0.108439328,0.029802247,0.094837991,53168,77659
10305,42006,0.773746608,0.04187497,0.123339523,0.018164072,0.042874827,70758,83935
10306,55902,0.879288755,0.030821795,0.053808451,0.011842152,0.024238847,75807,93591
10307,14829,0.93816171,0.006136624,0.032773619,0.012340684,0.010587363,86457,109555
10308,28939,0.956183697,0.00158955,0.031065344,0.004975984,0.006185425,88075,105080
10309,32646,0.915058506,0.025056669,0.037493108,0.011027385,0.011364333,86297,105948
10310,25227,0.578665715,0.257581163,0.054544734,0.032703056,0.076505332,61925,82052
10311,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A
10312,60081,0.928280155,0.006341439,0.051413925,0.007789484,0.006174997,85324,101227
10314,87276,0.774840735,0.042611944,0.13909895,0.011721435,0.031726935,77242,91434
10451,47069,0.171407933,0.436359387,0.019736982,0.028596316,0.343899382,26754,36560
10452,74931,0.153167581,0.33173186,0.014920393,0.028733101,0.471447065,25979,36082
10453,79793,0.113919767,0.329878561,0.014625343,0.040341885,0.501234444,25470,35381
10454,38089,0.326130904,0.337656541,0.012838352,0.024784058,0.298590144,20232,31814
10455,38576,0.180397138,0.320613853,0.002799668,0.03007051,0.46611883,22609,32350
10456,87723,0.103541831,0.416869008,0.009256409,0.031633665,0.438699087,23452,34753
10457,70282,0.147519991,0.370621212,0.014626789,0.034347344,0.432884665,24949,36595
10458,74859,0.208418493,0.220267436,0.035894148,0.040916924,0.494502999,24618,39384
10459,47977,0.132104967,0.304500073,0.00621131,0.039393876,0.517789774,24461,35421
10460,56084,0.131606162,0.271467798,0.020433635,0.030115541,0.546376863,22307,34517
10461,51730,0.506069979,0.073168374,0.105026097,0.037212449,0.278523101,52347,67093
10462,77369,0.230557458,0.279194509,0.120539234,0.033411315,0.336297483,45864,55062
10463,70420,0.443851179,0.150255609,0.037446748,0.045299631,0.323146833,54258,76188
10464,4248,0.8076742,0.028013183,0.007297552,0.012241055,0.144774011,70078,79490
