"","camis","dba","boro","zipcode","cuisine_description","score","grade","rodent_list","roach_list","total.list","white.list","black.list","asian.list","multi.list","other.list","mean_income.list","median_income.list","cuisine_group_factor"
"23","30112340","WENDY'S","BROOKLYN","11225","Hamburgers",12,"A",FALSE,FALSE,59182,0.177672265,0.73441249,0.022287182,0.011625156,0.054002906,56892,42922,"American"
"83","40356483","WILKEN'S FINE FOOD","BROOKLYN","11234","Delicatessen",9,"A",FALSE,FALSE,94259,0.462024846,0.452731304,0.04102526,0.014311631,0.029906958,84530,68431,"Sandwiches"
"155","40358429","MAY MAY KITCHEN","BROOKLYN","11208","Chinese",10,"A",FALSE,TRUE,93107,0.330254438,0.519885723,0.047923357,0.016615292,0.08532119,45630,35079,"Chinese"
"351","40361618","SAL'S DELI","QUEENS","11356","Delicatessen",6,"A",FALSE,FALSE,23037,0.398315753,0.025871424,0.29057603,0.017754048,0.267482745,75087,58465,"Sandwiches"
"364","40361708","BULLY'S DELI","MANHATTAN","10003","Delicatessen",13,"A",FALSE,FALSE,57310,0.775955331,0.041196999,0.134444251,0.029767929,0.018635491,146769,92540,"Sandwiches"
"380","40361998","STEVE CHU'S DELI & GROCERY","QUEENS","11106","Delicatessen",2,"A",FALSE,FALSE,36869,0.607936207,0.083050801,0.165477773,0.031516993,0.112018227,65573,48720,"Sandwiches"
"469","40362432","HO MEI RESTAURANT","QUEENS","11368","Chinese",12,"A",TRUE,FALSE,107962,0.455669587,0.119393861,0.113456587,0.026907616,0.28457235,57070,45964,"Chinese"
"528","40362869","SHASHEMENE INT'L RESTAURA","BROOKLYN","11203","Caribbean",7,"A",FALSE,FALSE,79572,0.041848892,0.90419997,0.01276831,0.014565425,0.026617403,61959,48400,"Latin/Spanish"
"575","40363151","OLIVE'S","MANHATTAN","10012","Sandwiches/Salads/Mixed Buffet",5,"A",FALSE,FALSE,26145,0.753145917,0.022566456,0.165959074,0.029795372,0.02853318,136376,86594,"Sandwiches"
"598","40363289","HAPPY GARDEN","BRONX","10474","Chinese",6,"A",TRUE,FALSE,12519,0.310088665,0.328061347,0.003594536,0.038261842,0.31999361,33007,25676,"Chinese"
"629","40363333","TONY'S DELI","QUEENS","11385","Delicatessen",11,"A",TRUE,FALSE,99379,0.818009841,0.019843226,0.068767043,0.01860554,0.074774349,64260,50799,"Sandwiches"
"654","40363426","LEXLER DELI","MANHATTAN","10174","Sandwiches/Salads/Mixed Buffet",12,"A",FALSE,FALSE,0,NA,NA,NA,NA,NA,NA,NA,"Sandwiches"
"665","40363427","BAGELS N BUNS","STATEN ISLAND","10314","Delicatessen",11,"A",FALSE,FALSE,87276,0.774840735,0.042611944,0.13909895,0.011721435,0.031726935,91434,77242,"Sandwiches"
"770","40363644","DOMINO'S ","MANHATTAN","10016","Pizza",2,"A",FALSE,FALSE,51196,0.748906165,0.032912728,0.155480897,0.023380733,0.039319478,155107,105324,"Pizza"
"810","40363920","NEW GOLDEN BILLION","BROOKLYN","11212","Chinese",8,"A",FALSE,FALSE,84520,0.04493611,0.865558448,0.009678183,0.011890677,0.067936583,39952,28348,"Chinese"
"824","40363945","DOMINO'S","MANHATTAN","10023","Pizza",2,"A",FALSE,FALSE,61315,0.826518796,0.034151513,0.102797032,0.02454538,0.011987279,183329,103534,"Pizza"
"931","40364286","PLAZA BAGELS & DELI","STATEN ISLAND","10306","Delicatessen",13,"A",FALSE,FALSE,55902,0.879288755,0.030821795,0.053808451,0.011842152,0.024238847,93591,75807,"Sandwiches"
"949","40364296","HAPPY GARDEN","BRONX","10458","Chinese",12,"A",FALSE,FALSE,74859,0.208418493,0.220267436,0.035894148,0.040916924,0.494502999,39384,24618,"Chinese"
"975","40364299","B & M HOT BAGEL & GROCERY","STATEN ISLAND","10308","Delicatessen",8,"A",FALSE,FALSE,28939,0.956183697,0.00158955,0.031065344,0.004975984,0.006185425,105080,88075,"Sandwiches"
"1038","40364305","PHILADELHIA GRILLE EXPRESS","BROOKLYN","11209","Italian",9,"A",FALSE,FALSE,72623,0.771188191,0.023312174,0.125814136,0.023835424,0.055850075,82258,58261,"Italian"
"1053","40364335","PETER LUGER STEAKHOUSE","BROOKLYN","11211","Steak",11,"A",TRUE,FALSE,93271,0.825497743,0.045930675,0.035777466,0.02009199,0.072702126,70753,46848,"American"
"1161","40364373","ISLE OF CAPRI RESTURANT","MANHATTAN","10065","Italian",13,"A",TRUE,FALSE,32797,0.86337165,0.026984175,0.085952984,0.016830808,0.006860384,214581,115519,"Italian"
"1218","40364439","SEVILLA RESTAURANT","MANHATTAN","10014","Latin (Cuban, Dominican, Puerto Rican, South & Central American)",11,"A",FALSE,TRUE,30597,0.878877014,0.020819035,0.061901494,0.023662451,0.014740007,170750,108483,"Latin/Spanish"
"1383","40364572","DONOHUE'S STEAK HOUSE","MANHATTAN","10065","Steak",9,"A",FALSE,FALSE,32797,0.86337165,0.026984175,0.085952984,0.016830808,0.006860384,214581,115519,"American"
"1485","40364668","MARCHIS RESTAURANT","MANHATTAN","10016","Italian",10,"A",FALSE,FALSE,51196,0.748906165,0.032912728,0.155480897,0.023380733,0.039319478,155107,105324,"Italian"
"1589","40364744","NEW PARK PIZZERIA & RESTAURANT","QUEENS","11414","Pizza/Italian",10,"A",FALSE,FALSE,28094,0.842065922,0.040471275,0.024773973,0.037801666,0.054887165,84024,66790,"Italian"
"1648","40364920","RIZZO'S FINE PIZZA","QUEENS","11103","Pizza",11,"A",FALSE,FALSE,37745,0.772314214,0.027023447,0.128652802,0.026122665,0.045886872,69034,55129,"Pizza"
"1695","40365013","CRYSTAL ROOM","STATEN ISLAND","10305","Italian",2,"A",FALSE,FALSE,42006,0.773746608,0.04187497,0.123339523,0.018164072,0.042874827,83935,70758,"Italian"
"1768","40365098","FORLINIS RESTAURANT","MANHATTAN","10013","Italian",13,"A",TRUE,FALSE,26065,0.561212354,0.036063687,0.342106273,0.04331479,0.017302897,207336,83725,"Italian"
"1912","40365280","COMO PIZZA","MANHATTAN","10032","Pizza",6,"A",FALSE,FALSE,59374,0.285158487,0.226395392,0.029709974,0.062333681,0.396402466,49378,34568,"Pizza"
"1948","40365293","ANGELO OF MULBERRY ST.","MANHATTAN","10013","Italian",9,"A",FALSE,FALSE,26065,0.561212354,0.036063687,0.342106273,0.04331479,0.017302897,207336,83725,"Italian"
"1967","40365348","PANCHITO'S","MANHATTAN","10012","Mexican",12,"A",FALSE,FALSE,26145,0.753145917,0.022566456,0.165959074,0.029795372,0.02853318,136376,86594,"Latin/Spanish"
"1991","40365355","NEW CORNER","BROOKLYN","11228","Italian",11,"A",FALSE,FALSE,43929,0.686266475,0.012907191,0.257460903,0.007193426,0.036172005,83920,61893,"Italian"
"2065","40365387","ARTURO'S","MANHATTAN","10012","Italian",12,"A",FALSE,FALSE,26145,0.753145917,0.022566456,0.165959074,0.029795372,0.02853318,136376,86594,"Italian"
